product_name,product_category_tree,retail_price,discounted_price,product_rating,overall_rating,brand,is_FK_Advantage_product,Stock_Level,Quantity,Rarity,Rarity_Encoded,Category_Encoded,Brand_Encoded
Vaishna Fashion Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Vaishna Bras""]",230.0,99.0,5.0,5.0,Beige,0,66,47,Medium,1,104,32
Vivity Women's Plunge Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Vivity Bras""]",1000.0,299.0,4.0,4.0,Orange,0,41,1,Low,0,105,235
JSR Paris Beauty Pro Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> JSR Paris Beauty Bras""]",499.0,214.0,3.5,3.5,Skin,0,103,90,Low,0,84,301
Wolfie Pro Women's Push-up Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Wolfie Bras""]",999.0,320.0,5.0,5.0,Black,0,176,14,Low,0,106,40
Younky Fashion Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Younky Bras""]",1299.0,149.0,1.0,1.0,Purple,0,108,64,Low,0,107,258
SB RETAILS SB02 Flash,"[""Cameras & Accessories >> Camera Accessories >> Flashes >> SB RETAILS Flashes >> SB RETAILS SB02 Flash (White)""]",999.0,249.0,5.0,5.0,SB RETAILS,0,39,38,Medium,1,25,286
Estilo sipper-3 450 ml Sipper,"[""Sports & Fitness >> Fitness Accessories >> Bottles & Shakers >> Estilo Bottles & Shakers >> Estilo sipper-3 450 ml Sipper (Pack of 3, Multic...""]",2099.0,628.0,1.0,1.0,Estilo,0,197,37,Low,0,372,109
Speedo Monogram Allover Splashback Solid Girl's,"[""Clothing >> Kids' Clothing >> Girls Wear >> Sports Wear >> Swimsuits >> Speedo Swimsuits >> Speedo Monogram Allover Splashback Solid Girl's""]",1099.0,1099.0,1.0,1.0,Speedo,0,105,11,Low,0,41,314
Omic Poto-Blue 1000 ml Sipper,"[""Kitchen & Dining >> Containers & Bottles >> Bottles & Sippers >> Sippers >> Omic Sippers >> Omic Poto-Blue 1000 ml Sipper (Pack of 1, Blue)""]",999.0,549.0,3.8,3.8,Omic,0,179,77,Medium,1,295,232
Prachin Varaha Laxmi Sitting Showpiece  -  11 cm,"[""Home Decor & Festive Needs >> Table Decor & Handicrafts >> Showpieces >> Religious Idols >> Prachin Religious Idols""]",3690.0,2460.0,4.0,4.0,Prachin,0,135,3,Medium,1,271,250
Hitway Lace Up,"[""Footwear >> Kids' & Infant Footwear >> For Boys >> School Shoes >> Hitway Lace Up""]",499.0,449.0,4.0,4.0,Hitway,0,5,33,High,2,227,138
Bond Beatz Zipper With Excellent Sound Wired Headset,"[""Mobiles & Accessories >> Mobile Accessories >> Bluetooth Headphones (With Mic) >> Bond Beatz Bluetooth Headphones (With Mic) >> Bond Beatz Zipper With Excellent Sound Wired Hea...""]",2499.0,210.0,5.0,5.0,Bond Beatz,0,9,6,Medium,1,330,47
Xerobic 75 cm Gym Ball,"[""Sports & Fitness >> Fitness Accessories >> Accessories >> Gym Balls >> Xerobic Gym Balls >> Xerobic 75 cm Gym Ball""]",1349.0,719.0,5.0,5.0,Xerobic,0,146,50,Medium,1,370,381
Xerobic 85 cm Gym Ball,"[""Sports & Fitness >> Fitness Accessories >> Accessories >> Gym Balls >> Xerobic Gym Balls >> Xerobic 85 cm Gym Ball""]",1499.0,809.0,5.0,5.0,Xerobic,0,107,10,High,2,371,381
Being Nawab 6 inch Glass Hookah,"[""Home Decor & Festive Needs >> Table Decor & Handicrafts >> Table Decor >> Hookah & Hookah Flavours >> Hookah >> Being Nawab Hookah""]",499.0,195.0,3.0,3.0,Being Nawab,0,31,5,Medium,1,273,33
Being Nawab 6 inch Glass Hookah,"[""Home Decor & Festive Needs >> Table Decor & Handicrafts >> Table Decor >> Hookah & Hookah Flavours >> Hookah >> Being Nawab Hookah""]",499.0,199.0,1.0,1.0,Being Nawab,0,141,23,Medium,1,273,33
Filtre Roto-pizza Wheel Pizza Cutter,"[""Kitchen & Dining >> Kitchen Tools >> Kitchen Implements >> Pizza Cutters >> Filtre Pizza Cutters""]",399.0,289.0,4.0,4.0,Filtre,0,19,10,Medium,1,318,118
3a Autocare Rubber Mat Car Mat Suzuki New Swift,"[""Automotive >> Car Accessories >> Car Interior >> Car Mats""]",1259.0,474.0,4.0,4.0,3a Autocare,0,94,44,Medium,1,9,0
Purpledip Showpiece  -  12 cm,"[""Home Decor & Festive Needs >> Showpieces >> Purpledip Showpieces""]",1250.0,638.0,4.5,4.5,Purpledip,0,46,2,High,2,262,259
"Voylla Metal, Alloy Necklace","[""Jewellery >> Necklaces & Chains >> Necklaces""]",379.0,189.0,5.0,5.0,Voylla,0,128,13,Medium,1,292,368
"UpTown Metal, Alloy Necklace","[""Jewellery >> Necklaces & Chains >> Necklaces""]",399.0,235.0,1.0,1.0,UpTown,0,183,40,Medium,1,292,355
Voylla Precious Simplicity Plain Sterling Silver Chain,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",599.0,309.0,4.0,4.0,Voylla,0,67,2,High,2,292,368
"Vinnis Pretty Please Metal, Acrylic, Alloy Necklace","[""Jewellery >> Necklaces & Chains >> Necklaces""]",499.0,325.0,5.0,5.0,Vinnis,0,100,84,Low,0,292,365
VR Designers Acrylic Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",500.0,200.0,1.0,1.0,VR Designers,0,56,65,High,2,292,359
RoyalsCart KTH505 Showpiece  -  33 cm,"[""Home Decor & Festive Needs >> Showpieces >> Ethnic >> RoyalsCart Ethnic""]",4725.0,2499.0,5.0,5.0,RoyalsCart,0,100,63,Low,0,259,283
"Vinnis Alloy, Acrylic Necklace","[""Jewellery >> Necklaces & Chains >> Necklaces""]",399.0,199.0,3.2,3.2,Vinnis,0,136,73,High,2,292,365
Apex Rolling Pizza Cutter,"[""Kitchen & Dining >> Kitchen Tools >> Kitchen Implements >> Pizza Cutters >> Apex Pizza Cutters""]",199.0,69.0,4.0,4.0,Apex,0,155,17,High,2,317,18
"Vinnis Pretty Please Metal, Acrylic, Alloy Necklace","[""Jewellery >> Necklaces & Chains >> Necklaces""]",499.0,299.0,2.5,2.5,Vinnis,0,147,9,Medium,1,292,365
Womens Trendz Half Jhaler Panadi Thushi Crystal Yellow Gold Plated Alloy Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",1980.0,470.0,5.0,5.0,Womens Trendz,1,175,75,Low,0,292,377
Jhondeal.com Wheel Pizza Cutter,"[""Kitchen & Dining >> Kitchen Tools >> Kitchen Implements >> Pizza Cutters >> Jhondeal.com Pizza Cutters""]",199.0,149.0,4.0,4.0,Jhondeal.com,0,33,15,Medium,1,320,163
"Village Handicrafts Aluminum, Ceramic Necklace","[""Jewellery >> Necklaces & Chains >> Necklaces""]",315.0,315.0,5.0,5.0,Village Handicrafts,0,40,24,Low,0,292,363
"Vinnis Alloy, Acrylic Necklace","[""Jewellery >> Necklaces & Chains >> Necklaces""]",399.0,299.0,4.7,4.7,Vinnis,0,17,38,High,2,292,365
Zakaah Jewels Sterling Silver Plated Stone Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",999.0,499.0,5.0,5.0,Zakaah Jewels,0,164,35,High,2,292,385
"Vinnis Pretty Please Metal, Acrylic, Alloy Necklace","[""Jewellery >> Necklaces & Chains >> Necklaces""]",499.0,245.0,5.0,5.0,Vinnis,0,75,94,Low,0,292,365
Hommate Wheel Pizza Cutter,"[""Kitchen & Dining >> Kitchen Tools >> Kitchen Implements >> Pizza Cutters >> Hommate Pizza Cutters""]",499.0,299.0,5.0,5.0,Hommate,0,191,95,Medium,1,319,141
"UpTown Metal, Alloy Necklace","[""Jewellery >> Necklaces & Chains >> Necklaces""]",399.0,250.0,3.0,3.0,UpTown,0,90,49,Medium,1,292,355
Aeoss Portable Car Air Vent Mount For Mobiles Phones Black,"[""Automotive >> Accessories & Spare parts >> Car Electronics & Accessories >> Car Mobile Accessories >> Car Mobile Holders""]",499.0,224.0,4.0,4.0,Aeoss,0,32,69,Medium,1,5,7
"Voylla Metal, Alloy Necklace","[""Jewellery >> Necklaces & Chains >> Necklaces""]",490.0,400.0,5.0,5.0,Voylla,0,70,62,Medium,1,292,368
Ndura Tawa 28 cm diameter,"[""Kitchen & Dining >> Cookware >> Pots & Pans >> Woks & Kadhais >> Ndura Woks & Kadhais""]",795.0,469.0,4.0,4.0,Ndura,0,174,60,High,2,307,220
CookAid Stainless Steel with Lid Kadhai 1.2 L,"[""Kitchen & Dining >> Cookware >> Pots & Pans >> Woks & Kadhais >> CookAid Woks & Kadhais""]",759.0,759.0,2.0,2.0,CookAid,1,49,50,High,2,302,70
Tosiba Kadhai 500 ML,"[""Kitchen & Dining >> Cookware >> Pots & Pans >> Woks & Kadhais >> Tosiba Woks & Kadhais""]",500.0,310.0,5.0,5.0,Tosiba,0,66,78,High,2,311,342
Gear X Sports Mount 2,"[""Automotive >> Accessories & Spare parts >> Car Electronics & Accessories >> Car Mobile Accessories >> Car Mobile Holders""]",1299.0,950.0,4.1,4.1,Gear X,0,189,75,High,2,5,123
Hawkins Futura Hard Anodized Deep-Fry Pan 7.5 L 360 mm Kadhai 7.5 L,"[""Kitchen & Dining >> Cookware >> Pots & Pans >> Woks & Kadhais >> Hawkins Woks & Kadhais""]",2650.0,2350.0,5.0,5.0,Hawkins,0,138,9,High,2,304,135
Pigeon Gravy Premium with Lid Kadhai 6 L,"[""Kitchen & Dining >> Cookware >> Pots & Pans >> Woks & Kadhais >> Pigeon Woks & Kadhais""]",1333.0,1333.0,4.4,4.4,Pigeon,0,32,34,Medium,1,309,246
Ambitione Car Holder,"[""Automotive >> Accessories & Spare parts >> Car Electronics & Accessories >> Car Mobile Accessories >> Car Mobile Holders""]",599.0,175.0,5.0,5.0,Ambitione,0,32,76,Medium,1,5,16
Bestech Kadhai 4 L,"[""Kitchen & Dining >> Cookware >> Pots & Pans >> Woks & Kadhais >> Bestech Woks & Kadhais""]",1225.0,980.0,1.0,1.0,Bestech,0,112,99,Medium,1,300,37
Sygtech Windshield Car Cradle Mount Phone Holder For Samsung S5,"[""Automotive >> Accessories & Spare parts >> Car Electronics & Accessories >> Car Mobile Accessories >> Car Mobile Holders""]",599.0,399.0,4.3,4.3,Sygtech,0,48,35,Medium,1,5,330
Trinketbag Red Tie Alloy Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",499.0,349.0,5.0,5.0,Trinketbag,0,88,1,High,2,292,348
Villcart Brass Bail Gadi Showpiece  -  5.5 cm,"[""Home Decor & Festive Needs >> Showpieces >> Villcart Showpieces""]",680.0,680.0,3.3,3.3,Villcart,0,34,40,High,2,266,364
Swethamber Arts brass musical lady set of 4 statue Showpiece  -  7 cm,"[""Home Decor & Festive Needs >> Showpieces >> Ethnic >> Swethamber Arts Ethnic""]",3500.0,3300.0,5.0,5.0,Swethamber Arts,0,194,64,High,2,260,328
Vtc Thumb Up Mobile Stand (Pink),"[""Automotive >> Accessories & Spare parts >> Car Electronics & Accessories >> Car Mobile Accessories >> Car Mobile Holders""]",499.0,89.0,1.0,1.0,Vtc,0,79,22,Low,0,5,369
CookAid Stainless Steel with Lid Kadhai 1.2 L,"[""Kitchen & Dining >> Cookware >> Pots & Pans >> Woks & Kadhais >> CookAid Woks & Kadhais""]",759.0,759.0,5.0,5.0,CookAid,1,132,60,Medium,1,302,70
Disney Cars Customs Traditional Pinata,"[""Toys & School Supplies >> Party Supplies >> Balloons & Decoration >> Pinatas >> Disney Pinatas""]",175.0,175.0,3.4,3.4,Disney,1,96,64,Medium,1,388,94
Aeoss Bike Phone Support Mobile holder,"[""Automotive >> Accessories & Spare parts >> Car Electronics & Accessories >> Car Mobile Accessories >> Car Mobile Holders""]",499.0,324.0,4.6,4.6,Aeoss,1,194,93,High,2,5,7
Leo Natura Paniarakkal 7 Hole Kadhai NA L,"[""Kitchen & Dining >> Cookware >> Pots & Pans >> Woks & Kadhais >> Leo Natura Woks & Kadhais""]",780.0,649.0,5.0,5.0,Leo Natura,0,133,72,Medium,1,306,181
Dailyware Kadhai 1.5 L,"[""Kitchen & Dining >> Cookware >> Pots & Pans >> Woks & Kadhais >> Dailyware Woks & Kadhais""]",689.0,589.0,2.0,2.0,Dailyware,0,125,11,Medium,1,303,78
Peach 3mm Premium Green Pan Kadhai 2.5 L,"[""Kitchen & Dining >> Cookware >> Pots & Pans >> Woks & Kadhais >> Peach Woks & Kadhais""]",999.0,399.0,5.0,5.0,Peach,0,31,14,High,2,308,240
Chefkraft Tri Ply Kadhai 3.2 L,"[""Kitchen & Dining >> Cookware >> Pots & Pans >> Woks & Kadhais >> Chefkraft Woks & Kadhais""]",1245.0,934.0,5.0,5.0,Chefkraft,0,194,60,Low,0,301,60
"UpTown Metal, Alloy Necklace","[""Jewellery >> Necklaces & Chains >> Necklaces""]",660.0,430.0,1.0,1.0,UpTown,0,125,30,Low,0,292,355
Alda Wok Glass Lid Kadhai,"[""Kitchen & Dining >> Cookware >> Pots & Pans >> Woks & Kadhais >> Alda Woks & Kadhais""]",1790.0,1350.0,5.0,5.0,Alda,0,120,35,Low,0,299,13
Voylla Cubic Zirconia Fabric Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",499.0,339.0,1.0,1.0,Voylla,0,7,85,High,2,292,368
Pigeon Triply Kadhai 2 L,"[""Kitchen & Dining >> Cookware >> Pots & Pans >> Woks & Kadhais >> Pigeon Woks & Kadhais""]",895.0,625.0,4.0,4.0,Pigeon,0,107,37,Medium,1,309,246
The Crafts House Showpiece  -  6.5 cm,"[""Home Decor & Festive Needs >> Showpieces >> The Crafts House Showpieces""]",2000.0,1499.0,4.0,4.0,The Crafts House,0,159,5,High,2,265,338
Jaipan KD2.5 Kadhai 2.5 L,"[""Kitchen & Dining >> Cookware >> Pots & Pans >> Woks & Kadhais >> Jaipan Woks & Kadhais""]",690.0,499.0,4.3,4.3,Jaipan,0,141,83,High,2,305,157
Urthn Alloy Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",599.0,299.0,3.0,3.0,Urthn,0,66,78,Medium,1,292,357
"Retina 1 Mobile Holder, 1 Car Charger, 1 USB Cable Combo","[""Automotive >> Accessories & Spare parts >> Automotive Combo""]",249.0,199.0,2.4,2.4,Retina,1,169,26,Low,0,0,275
Village Handicrafts Alloy Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",378.0,378.0,4.2,4.2,Village Handicrafts,0,55,62,Low,0,292,363
United Kadhai NA L,"[""Kitchen & Dining >> Cookware >> Pots & Pans >> Woks & Kadhais >> United Woks & Kadhais""]",1525.0,999.0,5.0,5.0,United,0,176,4,High,2,312,353
VR Designers Glass Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",700.0,190.0,4.0,4.0,VR Designers,0,156,89,Low,0,292,359
Total Agency Car Mobile Stand Holder Mount,"[""Automotive >> Accessories & Spare parts >> Car Electronics & Accessories >> Car Mobile Accessories >> Car Mobile Holders""]",499.0,249.0,5.0,5.0,Total Agency,0,63,42,High,2,5,343
"Vinnis Style Diva Metal, Acrylic, Alloy Necklace","[""Jewellery >> Necklaces & Chains >> Necklaces""]",699.0,450.0,4.0,4.0,Vinnis,0,122,89,High,2,292,365
3a Autocare 3D MAT Car Mat Suzuki New Swift,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]",2100.0,1350.0,5.0,5.0,3a Autocare,0,164,18,Medium,1,6,0
Imported Long Lazy Mobile Holder Stand,"[""Automotive >> Accessories & Spare parts >> Car Electronics & Accessories >> Car Mobile Accessories >> Car Mobile Holders""]",699.0,300.0,3.4,3.4,Imported,0,100,40,Medium,1,5,146
CookAid Stainless Steel with Lid Kadhai 1.2 L,"[""Kitchen & Dining >> Cookware >> Pots & Pans >> Woks & Kadhais >> CookAid Woks & Kadhais""]",759.0,759.0,3.0,3.0,CookAid,1,184,72,Medium,1,302,70
FLY Mini Clip Mobile Holder,"[""Automotive >> Accessories & Spare parts >> Car Electronics & Accessories >> Car Mobile Accessories >> Car Mobile Holders""]",429.0,249.0,3.6,3.6,FLY,0,117,39,High,2,5,112
Woodino Handicrafts Showpiece  -  6.5 cm,"[""Home Decor & Festive Needs >> Showpieces >> Woodino Handicrafts Showpieces""]",749.0,399.0,5.0,5.0,Woodino Handicrafts,0,66,14,Medium,1,267,378
R S Jewels Handmade Decoretive Designs Iron Pot Vase Showpiece  -  76 cm,"[""Home Decor & Festive Needs >> Showpieces >> R S Jewels Showpieces""]",1300.0,780.0,5.0,5.0,R S Jewels,0,190,32,Low,0,263,261
Fly Universal Mobile Holder Crystal Edition For Car Windshield,"[""Automotive >> Accessories & Spare parts >> Car Electronics & Accessories >> Car Mobile Accessories >> Car Mobile Holders""]",599.0,415.0,2.4,2.4,Fly,0,56,51,Low,0,5,121
Urdiva Fashions Metal Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",499.0,199.0,5.0,5.0,Urdiva Fashions,0,16,38,High,2,292,356
Bracketron Tour Window Hip Kicker,"[""Automotive >> Accessories & Spare parts >> Car Electronics & Accessories >> Car Mobile Accessories >> Car Mobile Holders""]",1650.0,199.0,4.0,4.0,Bracketron,0,43,97,High,2,5,49
Mom Italy Wheel Pizza Cutter,"[""Kitchen & Dining >> Kitchen Tools >> Kitchen Implements >> Pizza Cutters >> Mom Italy Pizza Cutters""]",169.0,169.0,3.7,3.7,Mom Italy,0,134,23,Medium,1,321,207
VR Designers Metal Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",500.0,200.0,1.5,1.5,VR Designers,0,135,63,High,2,292,359
Hawkins Futura Hard Anodized Kadhai 2.5 L,"[""Kitchen & Dining >> Cookware >> Pots & Pans >> Woks & Kadhais >> Hawkins Woks & Kadhais""]",1235.0,1150.0,4.0,4.0,Hawkins,0,117,15,High,2,304,135
Urthn Alloy Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",599.0,299.0,2.0,2.0,Urthn,0,105,97,Low,0,292,357
Voylla Yellow Gold Plated Fabric Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",490.0,446.0,1.0,1.0,Voylla,0,117,25,Low,0,292,368
Suruchi Kadhai 1 L,"[""Kitchen & Dining >> Cookware >> Pots & Pans >> Woks & Kadhais >> Suruchi Woks & Kadhais""]",490.0,299.0,5.0,5.0,Suruchi,0,188,17,Medium,1,310,324
Funku Fashion Women Heels,"[""Footwear >> Women's Footwear >> Heels >> Funku Fashion Women Heels""]",2199.0,1199.0,5.0,5.0,Funku Fashion,0,85,97,High,2,242,122
Funku Fashion Women Heels,"[""Footwear >> Women's Footwear >> Heels >> Funku Fashion Women Heels""]",2199.0,1199.0,5.0,5.0,Funku Fashion,0,191,66,High,2,242,122
Being Trendy Quit-X eGo-Twist CE 5 Automatic Electronic Cigarette,"[""Health & Personal Care Appliances >> Personal Care Appliances >> Vaping Devices >> E-Cigarettes >> Being Trendy Quit-X eGo-Twist CE 5 Automatic Ele...""]",2999.0,599.0,2.0,2.0,Being Trendy,0,117,78,Low,0,248,34
Hangrr Premium Single Breasted Solid Men's Suit,"[""Clothing >> Men's Clothing >> Suits & Blazers >> Suits >> Hangrr Suits >> Hangrr Premium Single Breasted Solid Men's Suit""]",15999.0,7883.0,3.7,3.7,Hangrr,0,6,53,High,2,65,134
Brahaan BLUE TAG Single Breasted Solid Men's Suit,"[""Clothing >> Men's Clothing >> Suits & Blazers >> Suits >> Brahaan BLUE TAG Suits >> Brahaan BLUE TAG Single Breasted Solid Men's Suit""]",8995.0,7196.0,5.0,5.0,Brahaan BLUE TAG,0,134,51,Low,0,64,50
Desert Eshop Real Antique Brass Royal 3 Minute Sand Timer 281 Showpiece  -  7 cm,"[""Home Decor & Festive Needs >> Showpieces >> Ethnic >> Desert Eshop Ethnic""]",699.0,485.0,5.0,5.0,Desert Eshop,0,58,39,Medium,1,257,87
Elephant 9.84 inch Lid,"[""Kitchen & Dining >> Cookware >> Lids >> Elephant Lids""]",500.0,450.0,4.0,4.0,Elephant,0,91,51,Low,0,297,105
Nihar Pirangi Bomber Showpiece  -  10 cm,"[""Home Decor & Festive Needs >> Showpieces >> Ethnic >> Nihar Ethnic""]",799.0,194.0,5.0,5.0,Nihar,0,133,70,High,2,258,224
Intel 3.2 GHz LGA 1150 i5-4460 (BX80646I54460) Processor,"[""Computers >> Computer Components >> Processors >> Intel Processors""]",18000.0,15485.0,3.3,3.3,Intel,0,151,6,Medium,1,167,150
"Diovanni Fashionable Monochrome Metal, Alloy Necklace","[""Jewellery >> Necklaces & Chains >> Necklaces""]",600.0,269.0,3.6,3.6,Diovanni,1,130,67,Low,0,292,93
Bagru Crafts Wall hanging of Lord Ganesha Showpiece  -  21.69 cm,"[""Home Decor & Festive Needs >> Showpieces >> Ethnic >> Bagru Crafts Ethnic""]",999.0,549.0,5.0,5.0,Bagru Crafts,0,134,7,Low,0,256,28
Intel 1.8 GHz LGA 1155 Celeron G460 Processor,"[""Computers >> Computer Components >> Processors >> Intel Processors""]",3500.0,2475.0,4.3,4.3,Intel,0,57,51,Medium,1,167,150
Hi Look Alloy Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",195.0,165.0,1.0,1.0,Hi Look,0,176,72,Medium,1,292,137
Giftwallas Crystal Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",399.0,239.0,4.0,4.0,Giftwallas,0,164,42,Low,0,292,125
Leoxsys LEO-150N-3G-AD,"[""Computers >> Network Components >> Routers >> Leoxsys Routers""]",2990.0,1990.0,3.0,3.0,Leoxsys,0,164,64,High,2,208,182
Fayon Golden Tassel Alloy Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",1150.0,375.0,4.0,4.0,Fayon,0,72,15,Low,0,292,117
Netgear R6220 AC1200 Dual Band Gigabit Wi-Fi Router,"[""Computers >> Network Components >> Routers >> Netgear Routers""]",7000.0,4250.0,5.0,5.0,Netgear,1,187,29,Medium,1,210,221
Tenda 3G150B,"[""Computers >> Network Components >> Routers >> Tenda Routers""]",3000.0,1773.0,3.0,3.0,Tenda,0,188,33,Low,0,217,337
Hi Look Alloy Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",695.0,371.0,4.5,4.5,Hi Look,0,127,94,Medium,1,292,137
Hi Look Alloy Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",299.0,195.0,3.0,3.0,Hi Look,0,149,27,Medium,1,292,137
JDX Alloy Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",1099.0,375.0,5.0,5.0,JDX,0,42,36,High,2,292,155
Intex W150D,"[""Computers >> Network Components >> Routers >> Intex Routers""]",2200.0,1350.0,5.0,5.0,Intex,0,28,29,Medium,1,206,151
JDX Alloy Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",500.0,378.0,5.0,5.0,JDX,0,73,38,Medium,1,292,155
Asus RT-N13U B1 Wireless N with All-in-One Printer Server Router,"[""Computers >> Network Components >> Routers >> Asus Routers""]",2900.0,2100.0,3.8,3.8,Asus,0,120,57,High,2,193,23
Tenda 3G611R+,"[""Computers >> Network Components >> Routers >> Tenda Routers""]",2500.0,1300.0,3.7,3.7,Tenda,0,102,97,Medium,1,217,337
GoldNera Alloy Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",999.0,299.0,2.8,2.8,GoldNera,0,143,27,High,2,292,127
Asus RT-N14UHP High Power Wireless-N300 3-in-1 Router/ AP/ Range Extender,"[""Computers >> Network Components >> Routers >> Asus Routers""]",10000.0,5580.0,3.6,3.6,Asus,1,148,55,High,2,193,23
ETTI ESJ69_MULTI Glass Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",1000.0,199.0,5.0,5.0,ETTI,0,101,33,Medium,1,292,100
TP-LINK TL-MR3420 3G/4G Wireless N Router,"[""Computers >> Network Components >> Routers >> TP-LINK Routers""]",3450.0,1999.0,4.2,4.2,TP-LINK,0,128,68,Medium,1,214,333
Belkin Play Max Modem Router,"[""Computers >> Network Components >> Routers >> Belkin Routers""]",12499.0,12499.0,2.9,2.9,Belkin,1,191,86,Low,0,195,35
Asus Wireless AC2400 Dual-band Gigabit Router,"[""Computers >> Network Components >> Routers >> Asus Routers""]",29990.0,21290.0,4.3,4.3,Asus,0,74,66,High,2,193,23
Netgear WNDR3700 N600 Dual Band Wireless Gigabit Router,"[""Computers >> Network Components >> Routers >> Netgear Routers""]",9000.0,6300.0,4.0,4.0,Netgear,0,97,10,Low,0,210,221
Tenda TE-4G302,"[""Computers >> Network Components >> Routers >> Tenda Routers""]",3500.0,3399.0,3.6,3.6,Tenda,0,7,5,Medium,1,217,337
Huawei WS331c -300 Mbps Wireless Range Extender,"[""Computers >> Network Components >> Routers >> Huawei Routers""]",2250.0,1635.0,3.5,3.5,Huawei,1,152,74,Low,0,203,142
TRENDnet TEW-752DRU,"[""Computers >> Network Components >> Routers >> TRENDnet Routers""]",8999.0,5199.0,5.0,5.0,TRENDnet,0,191,97,High,2,216,335
Netgear WN2500RP Universal Dual Band Wi-Fi Range Extender,"[""Computers >> Network Components >> Routers >> Netgear Routers""]",10800.0,7550.0,3.5,3.5,Netgear,0,168,38,Low,0,210,221
Tenda W308R,"[""Computers >> Network Components >> Routers >> Tenda Routers""]",2999.0,1749.0,5.0,5.0,Tenda,0,151,13,High,2,217,337
Edimax BR-6428NC,"[""Computers >> Network Components >> Routers >> Edimax Routers""]",3330.0,2000.0,2.3,2.3,Edimax,0,94,31,Medium,1,202,103
GoldNera Brass Chain,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",987.0,299.0,2.0,2.0,GoldNera,1,199,47,Medium,1,292,127
GoldNera Brass Chain,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",1017.0,299.0,4.1,4.1,GoldNera,0,151,88,High,2,292,127
Zyxel PLA4231 500 Mbps Powerline Wireless N Extender (Single Pack),"[""Computers >> Network Components >> Routers >> Zyxel Routers""]",8646.0,4800.0,5.0,5.0,Zyxel,0,152,52,Medium,1,222,389
Asus DSL-AC68U Dual Band Wireless AC1900 VDSL / ADSL Modem Router,"[""Computers >> Network Components >> Routers >> Asus Routers""]",22000.0,17973.0,4.5,4.5,Asus,1,100,56,Medium,1,193,23
iBall Wireless N Router,"[""Computers >> Network Components >> Routers >> iBall Routers""]",1449.0,969.0,4.2,4.2,iBall,1,56,15,Medium,1,223,391
D-Link DIR - 816L,"[""Computers >> Network Components >> Routers >> D-Link Routers""]",4500.0,4000.0,3.2,3.2,D-Link,0,165,29,Medium,1,200,76
Asus RT-AC68U Dual-band Wireless-AC1900 Gigabit Router,"[""Computers >> Network Components >> Routers >> Asus Routers""]",25000.0,13390.0,4.3,4.3,Asus,0,172,8,High,2,193,23
"Tenda F3 300mbps Wireless Router, With 3 Fixed Antenna, 3lan, 1wan Port","[""Computers >> Network Components >> Routers >> Tenda Routers""]",3500.0,1899.0,5.0,5.0,Tenda,0,132,5,Low,0,217,337
TP-LINK TL-WR941ND 300Mbps Wireless N Router,"[""Computers >> Network Components >> Routers >> TP-LINK Routers""]",3499.0,2525.0,4.2,4.2,TP-LINK,0,43,29,Low,0,214,333
Asus RT-N12 LX 300Mbps Wireless Router,"[""Computers >> Network Components >> Routers >> Asus Routers""]",3950.0,1990.0,4.1,4.1,Asus,0,86,47,Medium,1,193,23
TRENDnet N150 Wireless ADSL 2 Modem Router,"[""Computers >> Network Components >> Routers >> TRENDnet Routers""]",2200.0,1859.0,5.0,5.0,TRENDnet,0,108,68,Low,0,216,335
